STATEFIP,weighted_nilf_pct,n_records
49,35.1,262
16,31.1,197
53,29.0,207
48,27.1,650
4,26.6,113
51,25.6,282
56,25.2,110
12,25.2,400
15,24.2,156
41,24.2,152
40,24.2,122
47,24.1,197
37,23.9,231
33,23.5,152
45,23.3,187
2,22.8,116
8,22.8,178
5,22.7,113
6,22.7,931
34,22.7,261
32,22.7,109
9,22.4,136
13,22.4,213
1,22.1,171
42,21.0,292
30,20.9,168
55,19.7,156
35,19.5,130
36,19.0,417
44,18.3,94
17,17.9,357
31,17.5,170
54,17.5,140
28,17.0,141
23,16.8,80
24,16.3,179
26,16.1,236
21,16.0,79
20,15.8,160
18,15.2,185
25,14.3,316
50,14.2,156
39,13.9,240
46,13.8,160
22,12.6,204
27,12.4,183
38,11.4,217
29,11.4,176
19,11.2,149
10,10.7,104
11,9.1,253
